MySQL [gc_sp21_dinosaurherd_log]> \. queries/maxLevelReached.sql
+--------------------------------------+--------------------------------------+-----------+
| uid                                  | sessionid                            | max_level |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | C64C3B9D-060B-F95C-D72D-ED6879ED8D15 |         2 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | DB8D5AC1-DF9A-D17E-7D9F-C1D383B0C06B |         1 |
| 4CEA18AD-D69A-A383-76AE-DF1CC2E370FE | 0EF30CD9-C54C-59E4-DA53-82EBF16FAE45 |         2 |
| 527179ED-6A82-14E3-6B03-78E220238690 | 65C21B0B-BD69-7E25-13E8-66815769CC41 |         4 |
| 53C11867-DD1F-9670-3D79-8F1A9E03DAE4 | 81AD8AE7-6A15-88C1-5DE7-30BC4F59B997 |         5 |
| 5BEF452D-7D8A-BD7D-3CD2-29934C84BE79 | 3E79DF68-B29F-19AD-2FE8-C69F574E90D1 |         5 |
| 5C957550-F0C3-14E8-4BCF-E9702699314C | 7A2EB27D-19E2-4403-9761-205105EC441E |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | NULL                                 |         1 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 001202D1-EF03-C226-BB45-16B5BA00EB74 |         1 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 009E3B4F-129A-59E7-9E0C-DAE110C7DA13 |         8 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 01162BBA-053C-3E70-AB8D-9AEA33018FF2 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0119C9AA-CE9A-50B9-57A1-3845E07A81D5 |         2 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 01ABACB3-D6BB-DDE0-7263-946711A7E9EA |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 03343876-01E0-2BA1-B7D3-4693EB867918 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 040D645B-E164-BEFE-8BF7-3F57BBDE2DBD |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 04CA7EF8-5063-D40D-C8FC-9FAE7D3BF1BB |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 05D5040F-30D4-BF3C-D2FA-324420C090A5 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0600DECC-6163-75F7-E707-EEA3F666D47E |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 083FE06A-4DA0-08A5-1333-4F4169B10613 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 085FD261-62D9-F2E5-0FBC-CA5A324422FB |         4 |
