log_no_quest_id,gid,cid,log_ts,aid,a_detail,uid,vid,sessionid,session_seqid,client_ts,multiplayer_uid,multiplayer_seqid
115,202107,1,1621993959,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5F159E80-30D6-6F77-512B-0383B51D9003,1,1621993959070,NULL,0
116,202107,1,1621993991,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F5CD7157-6290-65DF-4E3B-28AEAC9E428A,1,1621993991271,NULL,0
117,202107,1,1621994008,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,39E827EC-5CCD-81C0-23CF-ABF008DDB94C,1,1621994007987,NULL,0
118,202107,1,1621994025,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,2E8A2182-114F-03B5-C7F3-2DDD18A925C3,1,1621994025203,NULL,0
119,202107,1,1621994124,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,83FDCF90-957F-65C2-00C3-62D0EF91A7ED,1,1621994124052,NULL,0
120,202107,1,1621994290,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,0C70E9C7-F086-D487-ADE3-A8E2413296B2,1,1621994290469,NULL,0
121,202107,1,1621994554,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,65F67437-9D62-45E4-018B-96C0340433EA,1,1621994554701,NULL,0
122,202107,1,1621994766,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,0324B66A-F942-3916-23F1-67F34A4CA9C0,1,1621994766015,NULL,0
123,202107,1,1621994977,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,A16A3E90-1503-82E3-65C8-4C3840A8AD77,1,1621994977815,NULL,0
124,202107,4,1621995056,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,73EB34D3-0609-5175-8580-17A32878CB62,1,1621995056129,NULL,0
125,202107,1,1621995154,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,DED4F3C9-AAD9-A0DB-0CD8-115A762057B5,1,1621995154652,NULL,0
126,202107,1,1621995234,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,DB6123C7-1B08-3E9E-22CD-65FC96ABDD64,1,1621995234802,NULL,0
