log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
4475,3,1621198830,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,AA9A81E5-426E-3333-8175-2CCB6C042528,NULL,"{""score"":0}",NULL,1,1,1,0,3,1,5,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198829991,0,0,NULL
4476,3,1621198830,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,NULL,NULL,"{""deathCount"":0,""score"":0,""time"":0.16666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,6,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198830150,0,0,NULL
4477,4,1621198830,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,4A78FBD7-A8F0-1A3C-273E-948ED73C1B1B,NULL,"{""score"":0}",NULL,1,1,1,0,4,1,7,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198830549,0,0,NULL
4478,4,1621198830,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,4A78FBD7-A8F0-1A3C-273E-948ED73C1B1B,NULL,"{""deathCount"":0,""score"":0,""time"":0.26666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,8,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198830803,0,0,NULL
4479,5,1621198831,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,FFDCC2E2-CE02-27F2-CA1C-D388CB3AE279,NULL,"{""score"":0}",NULL,1,1,1,0,5,1,9,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198831170,0,0,NULL
4480,5,1621198831,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,FFDCC2E2-CE02-27F2-CA1C-D388CB3AE279,NULL,"{""deathCount"":0,""score"":0,""time"":0.3,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,10,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198831453,0,0,NULL
4481,6,1621198832,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,41C0A0E2-1351-1313-7B1C-175078B77EC0,NULL,"{""score"":0}",NULL,1,1,1,0,6,1,11,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198831943,0,0,NULL
4482,6,1621198832,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,41C0A0E2-1351-1313-7B1C-175078B77EC0,NULL,"{""deathCount"":0,""score"":0,""time"":0.7,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,12,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198832619,0,0,NULL
4483,7,1621198833,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,C6385AA5-B999-7F95-E7D2-35B70F97E8EC,NULL,"{""score"":0}",NULL,1,1,1,0,7,1,13,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198833020,0,0,NULL
4484,7,1621198833,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,C6385AA5-B999-7F95-E7D2-35B70F97E8EC,NULL,"{""deathCount"":0,""score"":0,""time"":0.65,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,14,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198833653,0,0,NULL
4485,8,1621198834,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,95B4EE4C-A30E-0ABD-63D3-7A5475267C8E,NULL,"{""score"":0}",NULL,1,1,1,0,8,1,15,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198833949,0,0,NULL
4486,8,1621198835,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,95B4EE4C-A30E-0ABD-63D3-7A5475267C8E,NULL,"{""deathCount"":0,""score"":0,""time"":0.98333333333333,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,16,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198835019,0,0,NULL
4487,9,1621198835,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,A28A5828-E128-C8F8-EF2C-24A314DE8503,NULL,"{""score"":0}",NULL,1,1,1,0,9,1,17,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198835421,0,0,NULL
4488,9,1621198836,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,A28A5828-E128-C8F8-EF2C-24A314DE8503,NULL,"{""deathCount"":0,""score"":0,""time"":0.85,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,18,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198836259,0,0,NULL
4489,10,1621198836,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,4C3E5285-D0C7-BE24-8904-66290F8A6364,NULL,"{""score"":0}",NULL,1,1,1,0,10,1,19,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198836584,0,0,NULL
4490,1,1621198928,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,C917CFD0-AF0B-B9DF-31A2-C4CCDB67626D,NULL,"{""score"":0}",NULL,1,1,1,0,1,1,1,902CF825-A688-31E6-D7CF-FF0759EE6ED8,1621198928593,0,0,NULL
4491,1,1621198929,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,C917CFD0-AF0B-B9DF-31A2-C4CCDB67626D,NULL,"{""deathCount"":0,""score"":0,""time"":0.88333333333333,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,2,902CF825-A688-31E6-D7CF-FF0759EE6ED8,1621198929472,0,0,NULL
4492,2,1621198929,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,BE2A20DF-A7BD-2909-C0E3-11A92D363147,NULL,"{""score"":0}",NULL,1,1,1,0,2,1,3,902CF825-A688-31E6-D7CF-FF0759EE6ED8,1621198929509,0,0,NULL
4493,2,1621198929,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,NULL,NULL,"{""deathCount"":0,""score"":0,""time"":0.21666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,4,902CF825-A688-31E6-D7CF-FF0759EE6ED8,1621198929706,0,0,NULL
